merchant_id,total_txn_count,total_volume,avg_ticket,median_ticket,max_ticket,min_ticket,ticket_std,coefficient_of_variation,avg_daily_txns,max_daily_txns,active_days,std_daily_txns,activity_rate,burst_ratio,fraud_count,fraud_rate,status_chargeback_rate,status_completed_rate,status_declined_rate,status_disputed_rate,status_failed_rate,status_pending_rate,status_reversed_rate,combined_risk_score,pct_large_txns,pct_small_txns,pct_round_amounts,amount_range,iqr,amount_skewness,pct_late_night,pct_weekend,peak_hour,hour_spread,late_night_fraud_rate,late_night_txn_count,n_channels_used,n_card_types,dominant_channel,debit_card_rate,unique_customers,txns_per_customer,repeat_customer_rate,days_on_platform,days_signup_to_first_txn,days_since_last_txn,category,state,is_high_risk
MRC00001,44,568425.75,12918.767045454546,12660.2,31514.55,100.0,8237.907956580424,0.6376698277471397,1.0476190476190477,2,42,0.21554026870452114,0.11506849315068493,1.909090909090909,2,0.045454545454545456,0.022727272727272728,0.9545454545454546,0.0,0.0,0.0,0.0,0.022727272727272728,0.027272727272727275,0.06818181818181818,0.06818181818181818,0.0,31414.55,11985.035,0.21300254579558411,0.22727272727272727,0.3409090909090909,5,22,0.1,10,3,4,POS_Terminal,0.4772727272727273,44,1.0,0.0,557,197,16,POS_Fuel,Abuja,0
MRC00002,65,702255.71,10803.934,10128.56,40092.0,100.0,7440.173835420193,0.6886541361156218,1.0655737704918034,2,61,0.24958982745138691,0.16712328767123288,1.8769230769230767,1,0.015384615384615385,0.0,0.9692307692307692,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.009230769230769232,0.06153846153846154,0.0,0.0,39992.0,6708.04,1.303547888280757,0.16923076923076924,0.2153846153846154,3,19,0.0,11,3,4,POS_Terminal,0.47692307692307695,65,1.0,0.0,727,374,5,POS_Retail,Rivers,0
MRC00003,121,4516969.45,37330.326033057856,37846.2,100320.41,100.0,23697.96082455962,0.6348179440911901,1.1862745098039216,3,102,0.46095879751576824,0.27945205479452057,2.5289256198347108,8,0.06611570247933884,0.03305785123966942,0.9173553719008265,0.01652892561983471,0.03305785123966942,0.0,0.0,0.0,0.042975206611570255,0.049586776859504134,0.0,0.0,100220.41,33230.350000000006,0.150771893589153,0.19834710743801653,0.30578512396694213,17,24,0.125,24,3,4,Mobile_App,0.5289256198347108,121,1.0,0.0,499,138,0,Online_Ecommerce,Lagos,1
MRC00004,80,2422154.73,30276.934125,28192.575,81251.12,100.0,22363.82813674116,0.7386424280744825,1.1428571428571428,2,70,0.3524536884251207,0.1917808219178082,1.75,1,0.0125,0.0,0.9125,0.025,0.0,0.0125,0.0375,0.0125,0.006250000000000001,0.05,0.0,0.0,81151.12,32669.697500000002,0.43193089981823407,0.3,0.3,2,23,0.0,24,3,4,Web_Gateway,0.4375,80,1.0,0.0,463,105,1,Online_Ecommerce,Delta,0
MRC00005,45,350026.48,7778.366222222222,8743.01,17051.89,100.0,4617.2797277506115,0.5936053402267666,1.0465116279069768,2,43,0.21308263231644636,0.1178082191780822,1.911111111111111,1,0.022222222222222223,0.0,0.9777777777777777,0.0,0.022222222222222223,0.0,0.0,0.0,0.013333333333333332,0.06666666666666667,0.06666666666666667,0.0,16951.89,7551.75,-0.10394463353937287,0.2,0.3333333333333333,16,22,0.1111111111111111,9,3,4,POS_Terminal,0.6222222222222222,45,1.0,0.0,500,144,9,POS_Supermarket,Rivers,0
MRC00006,177,3581429.99,20234.067740112994,19057.48,60974.89,100.0,14080.487846277227,0.6958802365954022,1.2733812949640289,3,139,0.49351967782572714,0.38082191780821917,2.3559322033898304,1,0.005649717514124294,0.005649717514124294,0.9548022598870056,0.022598870056497175,0.0,0.0,0.01694915254237288,0.0,0.0039548022598870055,0.05084745762711865,0.0,0.0,60874.89,20421.010000000002,0.38956611313250356,0.23728813559322035,0.288135593220339,14,24,0.0,42,3,4,Bank_Transfer,0.519774011299435,176,1.0056818181818181,0.005681818181818182,469,107,6,Transfer_P2P,Lagos,0
MRC00007,218,1411023.76,6472.586055045872,6061.165,15731.5,100.0,3689.725597498919,0.570054313085957,1.3625,4,160,0.5772140856120294,0.4383561643835616,2.935779816513761,15,0.06880733944954129,0.03211009174311927,0.9128440366972477,0.0,0.027522935779816515,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.04357798165137615,0.05045871559633028,0.0,0.0,15631.5,4576.292500000001,0.37771589690505947,0.20642201834862386,0.23853211009174313,21,24,0.06666666666666667,45,3,4,POS_Terminal,0.5504587155963303,218,1.0,0.0,629,268,0,POS_Pharmacy,Lagos,1
MRC00008,54,513485.46,9508.99,8723.404999999999,32124.91,100.0,7017.87544620622,0.738025326160425,1.0588235294117647,2,51,0.23763541031440188,0.13972602739726028,1.8888888888888888,0,0.0,0.0,0.9629629629629629,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,32024.91,8540.2,0.7932967963469393,0.2037037037037037,0.3333333333333333,22,22,0.0,11,3,4,POS_Terminal,0.6481481481481481,54,1.0,0.0,-183,-535,11,POS_Retail,Oyo,0
MRC00009,78,750925.37,9627.248333333333,9255.17,23597.38,100.0,6460.241943748295,0.6710372185352681,1.054054054054054,2,74,0.22766786020951796,0.20273972602739726,1.8974358974358976,4,0.05128205128205128,0.01282051282051282,0.9358974358974359,0.01282051282051282,0.01282051282051282,0.0,0.0,0.02564102564102564,0.02948717948717949,0.05128205128205128,0.0,0.0,23497.38,8696.7875,0.24994874787959212,0.23076923076923078,0.28205128205128205,1,23,0.1111111111111111,18,3,4,POS_Terminal,0.6410256410256411,78,1.0,0.0,465,101,3,POS_Retail,Lagos,0
MRC00010,65,9271114.43,142632.5296923077,144270.87,288604.26,100.0,68414.73473449999,0.47965730455799144,1.1403508771929824,2,57,0.3504383220252313,0.15616438356164383,1.7538461538461538,7,0.1076923076923077,0.015384615384615385,0.8769230769230769,0.015384615384615385,0.03076923076923077,0.0,0.0,0.06153846153846154,0.06000000000000001,0.06153846153846154,0.06153846153846154,0.0,288504.26,90789.84,-0.2028328898396678,0.2923076923076923,0.26153846153846155,3,24,0.15789473684210525,19,3,4,Web_Gateway,0.47692307692307695,65,1.0,0.0,575,222,0,Online_Travel,Enugu,1
